Type,Category,Question,Best Answer,Correct Answers,Incorrect Answers
OpenBookQA,OpenBookQA,"Frilled sharks and angler fish live far beneath the surface of the ocean, which is why they are known as?",Deep sea animals.,Deep sea animals.,fish.; Long Sea Fish.; Far Sea Animals.
OpenBookQA,OpenBookQA,"Gas can fill any container it is given, and liquid?",uses what it needs.,uses what it needs.,is standard weight and size.; is the opposite of variable.; only needs a few.
OpenBookQA,OpenBookQA,"When birds migrate south for the winter, they do it because?",they are genetically called to.,they are genetically called to.,their children ask for them to.; it is important to their happiness.; they decide to each year.
OpenBookQA,OpenBookQA,If a person walks in the opposite direction of a compass arrow they are walking?,south.,south.,west.; north.; east.
OpenBookQA,OpenBookQA,An example of lots kinetic energy would be?,An aircraft taking a trip.,An aircraft taking a trip.,Drinking a cold glass of water.; A snail moving across the sidewalk.; sitting without moving anywhere.
OpenBookQA,OpenBookQA,Which organism cannot specialize?,protozoa.,protozoa.,mammal.; plant.; fish.
OpenBookQA,OpenBookQA,A person can grow cabbage in January with the help of what product?,Green house.,Green house.,Parliment.; Congress.; White house.
OpenBookQA,OpenBookQA,"A frog, in winter, will burrow itself into soft mud, until it freezes, then in the spring?","it unfreezes, because it is cold-blooded.","it unfreezes, because it is cold-blooded.","it melts, because it is warm-blooded.; it remains frozen until it dies.; it dies, because it is warm-blooded."
OpenBookQA,OpenBookQA,Which describes the size of an object?,It holds 500 mL of water.,It holds 500 mL of water.,It attracts all metals.; It is a sphere.; It is red and purple.
OpenBookQA,OpenBookQA,A body may find its temperature to be lowered after?,fluid spreads from pores.,fluid spreads from pores.,water is heated up.; the air becomes arid.; the sky stays bright.
OpenBookQA,OpenBookQA,"If a person enjoys long, sunny days their favorite month would be?",July.,July.,October.; April.; March.
OpenBookQA,OpenBookQA,An example of data collection is?,speaking with a witness.,speaking with a witness.,Deleting case files on the computer.; Touching evidence without gloves.; Throwing documents in the trash.
OpenBookQA,OpenBookQA,An animal can hunt by cracking open a?,shell.,shell.,claw.; house.; bone.
OpenBookQA,OpenBookQA,Oil is a nonrenewable resource which tells us that when?,"the final barrel is gone, there supply is finished.","the final barrel is gone, there supply is finished.",it can be remade.; it can be found in other places.; there is an endless supply.
OpenBookQA,OpenBookQA,Magma contains?,particles of iron.,particles of iron.,Loads of leaves.; Soda.; Silly Putty.
OpenBookQA,OpenBookQA,Dew is formed when what condenses?,H2O haze.,H2O haze.,carbon dioxide.; warm air.; oxygen.
OpenBookQA,OpenBookQA,The Earth revolving around the sun can cause?,constellations to appear in one place in spring and another in fall.,constellations to appear in one place in spring and another in fall.,the stars to rotate diagonally in the sky.; earth's axis to be widened.; stars to fade as winter approaches.
OpenBookQA,OpenBookQA,Plants need light for?,glucose.,glucose.,love.; reading.; driving.
OpenBookQA,OpenBookQA,Tunnels?,lead to less impacted soil.,lead to less impacted soil.,pact down soil to make it denser.; firm up the ground.; help prevent the effects of erosion.
OpenBookQA,OpenBookQA,"A fire starts in a wide, open field and catches onto a forest. The fire started even though people were far away from the woods. A potential cause for the start of it could have been?",storms.,storms.,wind.; sand.; stones.
OpenBookQA,OpenBookQA,To have a positive impact of the environment?,salvage plastic bottles instead of throwing them away.,salvage plastic bottles instead of throwing them away.,use Styrofoam plates and bowls.; use more paper towels.; drive a car that guzzles gas.
OpenBookQA,OpenBookQA,Taking shorter showers leads to?,less energy used by the water heater.,less energy used by the water heater.,water shortages for the local environment.; increased energy consumption by the water heater.; an empty water heater.
OpenBookQA,OpenBookQA,Roads present danger to animals because?,people driving cars might be unaware the animal is close by.,people driving cars might be unaware the animal is close by.,only chickens can cross the road.; road signs are hard to read.; cops will stop them for speeding.
OpenBookQA,OpenBookQA,plant requires what for photosynthesis?,light from our closest star.,light from our closest star.,light that changes color.; the reflection of something shiny.; light reflected from our orbiting rock.
OpenBookQA,OpenBookQA,Winter solstice occurs on a day when?,the darkness is greatest.,the darkness is greatest.,the sun is brightest.; the sun is eclipsed.; the moon is full.
OpenBookQA,OpenBookQA,What boils at the boiling point?,Kool-Aid.,Kool-Aid.,Cotton.; Paper towel.; Hair.
OpenBookQA,OpenBookQA,When vapor condenses overnight it often ends up on?,rosebuds.,rosebuds.,bees.; clothing.; people.
OpenBookQA,OpenBookQA,Which is a good source of nutrients for a mushroom?,a cut peony.,a cut peony.,a trotting horse.; a roaring lion.; a flying eagle.
OpenBookQA,OpenBookQA,which of these animal's habitat is peat likely to be found?,an alligator's habitat.,an alligator's habitat.,a dog's habitat.; a cat's habitat.; a human's habitat.
OpenBookQA,OpenBookQA,A strawberry is in zero way a true berry because it?,"has seeds outside the flesh, unlike the blueberry.","has seeds outside the flesh, unlike the blueberry.",is unable to spread its seed.; is a different color than other berries.; is too wet inside.
OpenBookQA,OpenBookQA,The epidermis is part of?,is the largest organ and also the body's first defense against germs.,is the largest organ and also the body's first defense against germs.,is used the second largest organ and used for breathing by humans.; soaks in toxins in the air.; repels sunlight and UV rays.
OpenBookQA,OpenBookQA,Alligators?,eat gar.,eat gar.,eat only foliage.; have live births.; are warm-blooded.
OpenBookQA,OpenBookQA,What might occur during an experiment?,solution overflowing from a beaker.,solution overflowing from a beaker.,severe oxygen depletion in the atmosphere.; layers of the ozone disintegrating.; midterm exams for math class.
OpenBookQA,OpenBookQA,"Frogs are unable to give live birth, and their eggs are soft, unlike other eggs, in fact?",frog eggs are transparent.,frog eggs are transparent.,frog eggs are sour.; frog eggs are yellow.; frog eggs are hollow.
OpenBookQA,OpenBookQA,"A woman wants to figure out what renewable resources she can use in order to be more environmentally friendly and sufficient. She decides to use all of these resources that are renewable, with the exception of the one nonrenewable, which is?",aluminium.,aluminium.,sunlight.; wood.; water.
OpenBookQA,OpenBookQA,Cocoon creation occurs?,after the caterpillar stage.,after the caterpillar stage.,after the chrysalis stage.; after the eggs are laid.; after the cocoon emerging stage.
OpenBookQA,OpenBookQA,Where would animals shiver the most?,Arctic Circle.,Arctic Circle.,Sumatra.; Java.; tropical rainforest.
OpenBookQA,OpenBookQA,In the desert it was harder to find a?,stream.,stream.,cactus.; dry bed.; canyon.
OpenBookQA,OpenBookQA,Why can an Owl retain it's body temperature during the winter?,It's warm blooded.,It's warm blooded.,It's neither.; It's both.; It's cold blooded.
OpenBookQA,OpenBookQA,What is the source of energy for physical cycles on Earth?,a medium-sized star which our planet orbits.,a medium-sized star which our planet orbits.,clouds that are heavy with rain.; a thinner ozone layer.; heat from stars at night.
OpenBookQA,OpenBookQA,Pasteurization reduces the amount of bacteria in?,cheddar cheese.,cheddar cheese.,green tea.; orange juice.; almond milk.
OpenBookQA,OpenBookQA,A person is trapped in a cabin while it storms outside. The person knows it is storming because of?,the precipitation.,the precipitation.,the sun.; the sea.; the stars.
OpenBookQA,OpenBookQA,Which would best store new whale offspring?,large aquarium.,large aquarium.,large egg carton.; bag.; mud hole.
OpenBookQA,OpenBookQA,All the deer in one area moved away. This could be because?,all the trees had died from disease and fell down.,all the trees had died from disease and fell down.,They wanted to go to Disneyland.; The deer went for a walk and got lost.; They wanted to live where there were move wolves to keep them company.
OpenBookQA,OpenBookQA,An herbivore like a giraffe will only consume?,green matter.,green matter.,sticks.; algae.; cheese.
OpenBookQA,OpenBookQA,Climate change has sped up dramatically because?,CO2 production has accelerated.,CO2 production has accelerated.,a rapid decline the production of carbon dioxide.; oxygen levels have spiked.; Fe has been present in an overabundance.
OpenBookQA,OpenBookQA,What is most necessary for a  bitcoin operation?,metal.,metal.,abacus.; plastic.; wood.
OpenBookQA,OpenBookQA,If something is outside during the day what will it receive?,sunbeams.,sunbeams.,food.; energy.; water.
OpenBookQA,OpenBookQA,"A turtle may lay six eggs, and a sea turtle may lay a hundred eggs, and?",sea turtles will hatch more.,sea turtles will hatch more.,turtles will hatch more.; animals can lay eggs.; turtles are warm blooded.
OpenBookQA,OpenBookQA,Squirrels store acorns?,to have nourishment thru the cold months.,to have nourishment thru the cold months.,they build their homes from them.; they use them to keep warm.; because they like the aesthetic.
OpenBookQA,OpenBookQA,Plant growth may be positively affected by?,extra rainfall.,extra rainfall.,freezing temperatures.; increase in pests.; long droughts.
OpenBookQA,OpenBookQA,An electric car uses less gasoline than a regular car because?,power is prioritized over gas.,power is prioritized over gas.,parts of the engine are flawed.; gas is unable to be used.; electricity is more expensive.
OpenBookQA,OpenBookQA,Revolution happens when?,Mars orbits the sun.,Mars orbits the sun.,Earth orbits the moon.; the sun orbits the Earth.; the Earth's moon orbits Mars.
OpenBookQA,OpenBookQA,An organism's requirements and its survival rate have what kind of relationship?,direct.,direct.,indirect.; inverse.; reverse.
OpenBookQA,OpenBookQA,Pumpkin pie spice comes from?,plants.,plants.,animals.; rocks.; air.
OpenBookQA,OpenBookQA,"Were the situation to be that all zebra were sterile,?",zebra would die out.,zebra would die out.,zebra would be endangered.; zebra would be overpopulated.; zebra would have babies.
OpenBookQA,OpenBookQA,An example of a seasonal change that a furry animal might adopt could be similar to:?,humans pulling out their heavy outerwear.,humans pulling out their heavy outerwear.,A pumpkin growing seeds internally.; A store setting up their Christmas displays.; A man looking for breakfast after many hours without food.
OpenBookQA,OpenBookQA,What could be used as an electrical conductor?,A penny.,A penny.,Shoe laces.; Wood.; A button.
OpenBookQA,OpenBookQA,How does ice wedging cause rocks to crack?,growth in openings.,growth in openings.,releasing gas.; melting down.; being cold.
OpenBookQA,OpenBookQA,Fossils are formed when what happens?,various types of dirt accumulate over something eventually.,various types of dirt accumulate over something eventually.,layers of leaves and pebbles form a pile.; layers of sand are washed up on a beach.; dirt builds up in the outdoors.
OpenBookQA,OpenBookQA,"When going in the basement, it's better to have a laser than a?",radio.,radio.,flashlight.; light bulb.; TV.
OpenBookQA,OpenBookQA,"Some areas are known for experiencing all four seasons, and winter is one of those seasons. During said season, one may partake in activities such as?",sledding.,sledding.,swimming.; leaf peeping.; surfing.
OpenBookQA,OpenBookQA,What can show that loss of resources has a negative impact on the organisms in an area?,"when prey is overhunted, predators die.","when prey is overhunted, predators die.",lakes dry up and fish species are less varied.; deer need plenty of space to live.; sharks need to eat a lot of fish in order to survive.
OpenBookQA,OpenBookQA,What vehicle would you use to travel on the majority of the surface of the planet on which we live?,Boat.,Boat.,Bike.; Train.; Car.
OpenBookQA,OpenBookQA,A bear's fur and duck's feathers both help the animal survive by?,providing warmth.,providing warmth.,providing water.; providing food.; providing oxygen.
OpenBookQA,OpenBookQA,When would the sun set later?,Independence Day.,Independence Day.,Christmas.; Presidents day.; Halloween.
OpenBookQA,OpenBookQA,If a species population increases in the birth rate has?,boomed.,boomed.,ceased.; stalled.; fallen.
OpenBookQA,OpenBookQA,What's an example of the idea that if one mineral can scratch another mineral then that other mineral is softer than that one mineral?,diamond cuts into glass.,diamond cuts into glass.,diamonds can be smashed by rocks.; steel is harder than stone.; diamonds are harder than diamonds.
OpenBookQA,OpenBookQA,What is a source of energy?,grease.,grease.,bricks.; cars.; dirt.
OpenBookQA,OpenBookQA,"If a farmland up the hill gets rainfall, what could happen to lower lands?",all of these.,all of these.,they could get fertilizer washed to them.; they could experience unfavorable chemical change in their lands.; they could have their lands poisoned.
OpenBookQA,OpenBookQA,"In order for a journal to be produced, it first requires?",matter which is typically written on.,matter which is typically written on.,an incredible amount of fame.; enough money to buy a house.; lucky text written on trees.
OpenBookQA,OpenBookQA,What is an example of a raw material being something that comes directly from a source?,salt water from the ocean.,salt water from the ocean.,cats from a shelter.; birds from a nest.; manure from a field.
OpenBookQA,OpenBookQA,A source of sugar in an ecosystem is?,tree.,tree.,air.; soil.; bird.
OpenBookQA,OpenBookQA,A mark of adulthood common in most species is?,reproduction.,reproduction.,paying bills.; fighting.; death.
OpenBookQA,OpenBookQA,Bill decided the wolf was a predator after he saw it eat the?,bunny.,bunny.,apple.; grass.; pie.
OpenBookQA,OpenBookQA,Layers of the earth include all but?,center.,center.,mantle.; crust.; inner core.
OpenBookQA,OpenBookQA,What core ingredient of red pasta sauce comes from a flower?,Tomato.,Tomato.,Bell Pepper.; Oregano.; Onion.
OpenBookQA,OpenBookQA,"If something were to be melted, it would be heated above its melting point, like?",putting jello in warm water.,putting jello in warm water.,putting peas in a soup.; putting ice in the freezer.; cooking up cookie dough.
OpenBookQA,OpenBookQA,carbon dioxide plays the same role in plants that oxygen plays in animals?,this is accurate.,this is accurate.,all of these.; maybe true.; this is untrue.
OpenBookQA,OpenBookQA,"As far as plants go, considering their growth, it is unlikely that they would do well in?",a basement without windows.,a basement without windows.,"a large patio setting.; a humid, open greenhouse.; a damp patch of earth."
OpenBookQA,OpenBookQA,What is likely to be the most direct result of offshore oil leaking?,oil harms ocean life.,oil harms ocean life.,oil pollutes cities.; oil ruins farmland.; oil harms forests.
OpenBookQA,OpenBookQA,An individual can conserve by?,recycling and using solar.,recycling and using solar.,recycling and using gasoline.; recycling and using natural gas.; recycling and using coal.
OpenBookQA,OpenBookQA,Which is the slowest to move through water?,robin.,robin.,swan.; duck.; goose.
OpenBookQA,OpenBookQA,"Bats have many quirks, with the exception of?",laying eggs.,laying eggs.,using echolocation.; hanging upside down.; eating bugs.
OpenBookQA,OpenBookQA,Organic food is currently considered best for people because?,they avoid using bug killers when grown.,they avoid using bug killers when grown.,they have more vitamins.; they use pesticide when growing.; they are higher in fiber.
OpenBookQA,OpenBookQA,"A horse eats some hay, an apple and a sugar cube, then peacefully roams a field after eating while digesting the meal. During this time?",the food is deconstructed.,the food is deconstructed.,the horse throws up.; the horse is hungry.; the food is poisoned.
OpenBookQA,OpenBookQA,Who would be healthier?,a heavy sleeper.,a heavy sleeper.,a night owl.; an party animal.; a workaholic.
OpenBookQA,OpenBookQA,"When you get farther from water, the water vapor in the air will ______.?",decrease.,decrease.,increase.; condense.; form clouds.
OpenBookQA,OpenBookQA,What is a good example of camouflage?,when a creature adjusts the shape and color of its body to appear as something else.,when a creature adjusts the shape and color of its body to appear as something else.,when a rabbit hides in a patch of grass.; when a cat presses its body flat to the ground to hide.; when a fish swims with a large group of fish to hide itself.
OpenBookQA,OpenBookQA,plants are the source of?,tomatoes.,tomatoes.,turkeys.; cows.; chickens.
OpenBookQA,OpenBookQA,"As they are immobile, what is an example of how animal life helps the reproduction cycle of plants?",squirrels dropping seeds.,squirrels dropping seeds.,birds building nests.; human lumber industry.; bugs eating leaves.
OpenBookQA,OpenBookQA,Living things can all?,create a progeny.,create a progeny.,reproduce asexually.; produce spores.; find mates.
OpenBookQA,OpenBookQA,Stopped means lack of what?,velocity.,velocity.,warmth.; height.; plants.
OpenBookQA,OpenBookQA,Where did Puppigerus live?,ocean.,ocean.,bog.; land.; marsh.
OpenBookQA,OpenBookQA,The circulatory system brings oxygen to the body from where?,The chest.,The chest.,The brain.; The feet.; The stomach.
OpenBookQA,OpenBookQA,A renewable resource is used to produce?,notebook paper.,notebook paper.,petroleum.; plastic rulers.; Styrofoam plates.
OpenBookQA,OpenBookQA,Which relationship involves inheritance?,mother-daughter.,mother-daughter.,teacher-student.; grandmother-grandfather.; friends.
OpenBookQA,OpenBookQA,A source of heat at the resort is the?,jacuzzi.,jacuzzi.,pool.; chair.; umbrella.
OpenBookQA,OpenBookQA,A car engine usually uses combustion to convert this into a motion and heat.?,oil products.,oil products.,animal products.; plant materials.; solar energy.
OpenBookQA,OpenBookQA,"When turned on, which product cannot convert electrical energy into light energy?",charger.,charger.,chandelier.; floor lamp.; Christmas tree lights.
OpenBookQA,OpenBookQA,"A pelican is hungry, so decides to try to catch some fish. In order to do this, the pelican will?",use the front of its face.,use the front of its face.,use the back of its head.; use the bottom of its stomach.; use the back of its tail.
OpenBookQA,OpenBookQA,A magnetic effect could pull two rocks together if they're?,both magnetic and at any distance.,both magnetic and at any distance.,lacking magnetic properties and far apart.; shaped similarly and touching.; lacking magnetic properties and touching.
OpenBookQA,OpenBookQA,Refraction can easily be witnessed in?,fake diamonds.,fake diamonds.,concrete walls.; Christmas ornaments.; a tree.
OpenBookQA,OpenBookQA,"A man is trying to describe a single vat of juice he has. He needs the best way to tell his friend about the object, so he says?",20 ounces of juice.,20 ounces of juice.,20 meters of juice.; 20 vats of juice.; 20 feet of juice.
OpenBookQA,OpenBookQA,plant life is completely dependent on what?,creating self sustenance food.,creating self sustenance food.,buying some good food.; food given to it.; food at the store.
OpenBookQA,OpenBookQA,To prevent illness?,properly heat hamburgers and steaks.,properly heat hamburgers and steaks.,thaw chicken on uncovered counter tops.; eat raw cookie dough.; hamburger meat should stay pink.
OpenBookQA,OpenBookQA,An island can sprout up from seemingly suddenly because?,underwater volcanoes are hidden.,underwater volcanoes are hidden.,underwater volcanoes are invisible.; lava is hot enough to burn.; volcanoes have a lot of magma.
OpenBookQA,OpenBookQA,"When water freezes, that water?",undergoes a change opposite to compressor.,undergoes a change opposite to compressor.,heats up by at least 10 degrees.; takes up less space.; breaks into little pieces.
OpenBookQA,OpenBookQA,Where might you find the substance used to make the shiny metallic foil paper used in cooking?,Rocks.,Rocks.,Clouds.; Wood.; Leaves.
OpenBookQA,OpenBookQA,What increases the number of pollinators a flower will attract?,The amount of of fragrance the flower has.,The amount of of fragrance the flower has.,The amount of petals.; The height of the stem.; The amount of leaves on the stem.
OpenBookQA,OpenBookQA,You can get Vitamin D from?,greek yogurt.,greek yogurt.,vegetable oil.; gumdrops.; bottled water.
OpenBookQA,OpenBookQA,Chloroplasts exist in plants and can be located by knowing where?,the greenest part of a plant is.,the greenest part of a plant is.,how many petals most plants have.; food is stored in plants.; if a plant has a thick stem.
OpenBookQA,OpenBookQA,Sunlight transfers heat energy to?,the planet named after the Roman god of sea.,the planet named after the Roman god of sea.,the star from which scorpions get their name.; the largest star in the galaxy.; the hottest star in the galaxy.
OpenBookQA,OpenBookQA,Humans swim in the liquid form of?,steam.,steam.,air.; oxygen.; carbon.
OpenBookQA,OpenBookQA,What can keep you moisturized other than water?,cucumbers.,cucumbers.,Crackers.; Sour Cream.; Cheese.
OpenBookQA,OpenBookQA,Which of these items can a human move by pedal power?,unicycle.,unicycle.,canoe.; car.; sled.
OpenBookQA,OpenBookQA,It takes the Earth one year to go around the sun. It takes the moon how long to make one revolution around our planet?,30 days.,30 days.,2 months.; 2 years.; a decade.
OpenBookQA,OpenBookQA,Birds with more angular beaks?,may chow down on different grub than birds with rounded beaks.,may chow down on different grub than birds with rounded beaks.,will hate any birds with rounded beaks.; will eat the exact same diet as all other birds.; may have more trouble eating than other birds.
OpenBookQA,OpenBookQA,What might be the natural habitat of a small creature known for making a noise by scraping limbs together?,Among Birches.,Among Birches.,Amid the snow.; In a barn.; In the ocean.
OpenBookQA,OpenBookQA,Human planet that is orbited by what?,moon.,moon.,stars.; the ocean.; sun.
OpenBookQA,OpenBookQA,A change in the Earth is?,a wooded area appearing on land that was once part of the ocean.,a wooded area appearing on land that was once part of the ocean.,a person's hair growing.; a wooded area existing next to an ocean.; the moon moving around the Earth.
OpenBookQA,OpenBookQA,Some vapor is condensing now because it has less?,heat.,heat.,gas.; water.; steam.
OpenBookQA,OpenBookQA,Herbivores contribute to the same type of plants they eat when:?,they die.,they die.,they drink.; they eat  animals.; they trample them.
OpenBookQA,OpenBookQA,What converts electrical energy into light energy in a light bulb?,the metal filament.,the metal filament.,the light switch.; the glass bulb.; none.
OpenBookQA,OpenBookQA,"A person wants to turn on their fan to cool down their room. In order to do this, they will have to?",plug it in.,plug it in.,spin a wire.; make some noise.; turn it off.
OpenBookQA,OpenBookQA,A river can disappear over a period of time?,this is sure.,this is sure.,this is uncertain.; all of these.; maybe.
OpenBookQA,OpenBookQA,"A temperature in the negatives during the night got slightly less negative during the day, which means it got more?",positive.,positive.,cold.; negative.; unpredictable.
OpenBookQA,OpenBookQA,Corn is eaten by?,homo sapiens and deer.,homo sapiens and deer.,homo sapiens and frogs.; people and jungle monkeys.; deer and Bengal tigers.
OpenBookQA,OpenBookQA,What is natural gas?,a way to gain some warmth by combustion.,a way to gain some warmth by combustion.,warming up by sunlight.; slowly heating to a boiling point.; burning a high fever.
